borough,intersection,Number of Bike Accidents,lat_lon_list
MANHATTAN,CHRYSTIE STREET & DELANCEY STREET,24,"[40.71997, -73.9929]"
MANHATTAN,CLINTON STREET & DELANCEY STREET,24,"[40.71772, -73.98577]"
MANHATTAN,CLINTON STREET & DELANCEY STREET,24,"[40.71793, -73.98568]"
BROOKLYN,JAY STREET & TILLARY STREET,23,"[40.69613, -73.9871]"
BROOKLYN,JAY STREET & TILLARY STREET,23,"[40.69613, -73.98711]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68177, -73.96753]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68095, -73.96768]"
BROOKLYN,ATLANTIC AVENUE & VANDERBILT AVENUE,23,"[40.68175, -73.96748]"
BROOKLYN,ATLANTIC AVENUE & BEDFORD AVENUE,19,"[40.67872, -73.95299]"
BROOKLYN,ATLANTIC AVENUE & BEDFORD AVENUE,19,"[40.67872, -73.953]"
BROOKLYN,GRAND STREET & LORIMER STREET,19,"[40.71117, -73.94889]"
BROOKLYN,GRAND STREET & LORIMER STREET,19,"[40.71117, -73.9489]"
MANHATTAN,CHRYSTIE STREET & GRAND STREET,19,"[40.71814, -73.99383]"
MANHATTAN,CHRYSTIE STREET & GRAND STREET,19,"[40.71814, -73.99384]"
QUEENS,126 STREET & ROOSEVELT AVENUE,19,"[40.75534, -73.84325]"
MANHATTAN,8 AVENUE & WEST 14 STREET,18,"[40.73975, -74.00252]"
MANHATTAN,8 AVENUE & WEST 14 STREET,18,"[40.73975, -74.00253]"
MANHATTAN,CHAMBERS STREET & WEST STREET,18,"[40.71718, -74.01287]"
MANHATTAN,CHAMBERS STREET & WEST STREET,18,"[40.71719, -74.0129]"
QUEENS,114 STREET & ROOSEVELT AVENUE,18,"[40.75254, -73.8526]"
QUEENS,114 STREET & ROOSEVELT AVENUE,18,"[40.75254, -73.85261]"
BROOKLYN,ROEBLING STREET & SOUTH 4 STREET,17,"[40.71079, -73.95994]"
BROOKLYN,ROEBLING STREET & SOUTH 4 STREET,17,"[40.71079, -73.95995]"
BROOKLYN,GRAND STREET & UNION AVENUE,17,"[40.71096, -73.95112]"
BROOKLYN,GRAND STREET & UNION AVENUE,17,"[40.71096, -73.95113]"
MANHATTAN,CENTRAL PARK WEST & WEST 96 STREET,17,"[40.79166, -73.96468]"
MANHATTAN,CENTRAL PARK WEST & WEST 96 STREET,17,"[40.79166, -73.96469]"
QUEENS,58 STREET & ROOSEVELT AVENUE,17,"[40.74539, -73.90661]"
QUEENS,58 STREET & ROOSEVELT AVENUE,17,"[40.74539, -73.90662]"
MANHATTAN,ALLEN STREET & DELANCEY STREET,16,"[40.7192, -73.99036]"
MANHATTAN,ALLEN STREET & DELANCEY STREET,16,"[40.71918, -73.99029]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73329, -73.98718]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73235, -73.98494]"
MANHATTAN,3 AVENUE & EAST 14 STREET,16,"[40.73329, -73.98719]"
BROOKLYN,FLUSHING AVENUE & WASHINGTON AVENUE,16,"[40.69772, -73.96773]"
BROOKLYN,FLUSHING AVENUE & WASHINGTON AVENUE,16,"[40.69772, -73.96774]"
BROOKLYN,BUSHWICK AVENUE & GRAND STREET,15,"[40.71196, -73.94069]"
BROOKLYN,BUSHWICK AVENUE & GRAND STREET,15,"[40.71196, -73.9407]"
MANHATTAN,1 AVENUE & EAST 61 STREET,15,"[40.76086, -73.96107]"
MANHATTAN,1 AVENUE & EAST 61 STREET,15,"[40.7612, -73.96187]"
BROOKLYN,MYRTLE AVENUE & VANDERBILT AVENUE,15,"[40.69313, -73.96983]"
BROOKLYN,MYRTLE AVENUE & VANDERBILT AVENUE,15,"[40.69313, -73.96984]"
BROOKLYN,AVENUE J & OCEAN PARKWAY,15,"[40.62417, -73.97047]"
BROOKLYN,AVENUE J & OCEAN PARKWAY,15,"[40.62418, -73.97048]"
QUEENS,108 STREET & ROOSEVELT AVENUE,15,"[40.75072, -73.85876]"
QUEENS,108 STREET & ROOSEVELT AVENUE,15,"[40.75072, -73.85877]"
MANHATTAN,2 AVENUE & EAST 59 STREET,15,"[40.7606, -73.96431]"
MANHATTAN,2 AVENUE & EAST 59 STREET,15,"[40.7606, -73.96434]"
BROOKLYN,JAY STREET & JOHNSON STREET,14,"[40.69496, -73.98716]"
BROOKLYN,JAY STREET & JOHNSON STREET,14,"[40.69496, -73.98717]"
MANHATTAN,2 AVENUE & EAST 34 STREET,14,"[40.74478, -73.97588]"
MANHATTAN,2 AVENUE & EAST 34 STREET,14,"[40.74478, -73.97589]"
MANHATTAN,2 AVENUE & EAST 23 STREET,14,"[40.73789, -73.9809]"
MANHATTAN,2 AVENUE & EAST 23 STREET,14,"[40.73788, -73.98091]"
MANHATTAN,3 AVENUE & EAST 23 STREET,14,"[40.73883, -73.98315]"
BROOKLYN,GRAHAM AVENUE & GRAND STREET,14,"[40.71164, -73.94391]"
BROOKLYN,GRAHAM AVENUE & GRAND STREET,14,"[40.71164, -73.94392]"
QUEENS,30 AVENUE & STEINWAY STREET,14,"[40.76389, -73.91499]"
QUEENS,30 AVENUE & STEINWAY STREET,14,"[40.76389, -73.915]"
MANHATTAN,LIBERTY STREET & WEST STREET,14,"[40.71091, -74.01446]"
MANHATTAN,LIBERTY STREET & WEST STREET,14,"[40.71088, -74.01439]"
MANHATTAN,AVENUE OF THE AMERICAS & WEST 23 STREET,14,"[40.74291, -73.9928]"
MANHATTAN,AVENUE OF THE AMERICAS & WEST 23 STREET,14,"[40.7429, -73.99281]"
MANHATTAN,2 AVENUE & EAST 58 STREET,14,"[40.75998, -73.9648]"
MANHATTAN,2 AVENUE & EAST 58 STREET,14,"[40.75998, -73.96481]"
BROOKLYN,36 STREET & 5 AVENUE,14,"[40.65295, -74.00217]"
BROOKLYN,36 STREET & 5 AVENUE,14,"[40.65295, -74.00215]"
MANHATTAN,CHRYSTIE STREET & EAST HOUSTON STREET,14,"[40.72365, -73.99102]"
MANHATTAN,CHRYSTIE STREET & EAST HOUSTON STREET,14,"[40.72365, -73.99103]"
MANHATTAN,9 AVENUE & WEST 42 STREET,14,"[40.75843, -73.99263]"
MANHATTAN,9 AVENUE & WEST 42 STREET,14,"[40.75843, -73.99264]"
MANHATTAN,CLINTON STREET & STANTON STREET,13,"[40.72024, -73.98448]"
MANHATTAN,CLINTON STREET & STANTON STREET,13,"[40.72023, -73.98448]"
BRONX,EAST 149 STREET & MORRIS AVENUE,13,"[40.81739, -73.92276]"
BRONX,EAST 149 STREET & MORRIS AVENUE,13,"[40.81739, -73.92277]"
QUEENS,QUEENS BOULEVARD & SKILLMAN AVENUE,13,"[40.74603, -73.9344]"
QUEENS,QUEENS BOULEVARD & SKILLMAN AVENUE,13,"[40.74603, -73.93441]"
MANHATTAN,7 AVENUE & WEST 23 STREET,13,"[40.7441, -73.99564]"
MANHATTAN,7 AVENUE & WEST 23 STREET,13,"[40.7441, -73.99565]"
MANHATTAN,2 AVENUE & EAST 54 STREET,13,"[40.75738, -73.9667]"
MANHATTAN,2 AVENUE & EAST 54 STREET,13,"[40.75738, -73.96671]"
MANHATTAN,EAST 116 STREET & LEXINGTON AVENUE,13,"[40.79862, -73.94162]"
MANHATTAN,EAST 116 STREET & LEXINGTON AVENUE,13,"[40.79862, -73.94163]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.6897, -73.9751]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.7136, -74.0091]"
BROOKLYN,DE KALB AVENUE & SOUTH PORTLAND AVENUE,13,"[40.6897, -73.97511]"
QUEENS,BROADWAY & NORTHERN BOULEVARD,13,"[40.75328, -73.90691]"
MANHATTAN,1 AVENUE & EAST 59 STREET,13,"[40.75962, -73.96196]"
MANHATTAN,1 AVENUE & EAST 59 STREET,13,"[40.75962, -73.96197]"
MANHATTAN,7 AVENUE & WEST 116 STREET,13,"[40.80322, -73.95253]"
MANHATTAN,EAST 23 STREET & PARK AVENUE SOUTH,13,"[40.74018, -73.98636]"
MANHATTAN,EAST 23 STREET & PARK AVENUE SOUTH,13,"[40.74018, -73.98637]"
BROOKLYN,EASTERN PARKWAY & WASHINGTON AVENUE,13,"[40.67164, -73.96257]"
BROOKLYN,EASTERN PARKWAY & WASHINGTON AVENUE,13,"[40.67163, -73.96263]"
BROOKLYN,BUSHWICK AVENUE & FLUSHING AVENUE,13,"[40.70191, -73.93698]"
BROOKLYN,BUSHWICK AVENUE & FLUSHING AVENUE,13,"[40.70191, -73.93699]"
BROOKLYN,BEDFORD AVENUE & CHURCH AVENUE,13,"[40.65053, -73.95582]"
BROOKLYN,BEDFORD AVENUE & CHURCH AVENUE,13,"[40.65053, -73.95583]"
MANHATTAN,BROADWAY & EAST HOUSTON STREET,13,"[40.72543, -73.99677]"
MANHATTAN,BROADWAY & EAST HOUSTON STREET,13,"[40.7257, -73.99656]"
MANHATTAN,BROADWAY & EAST HOUSTON STREET,13,"[40.72543, -73.99678]"
BROOKLYN,BEVERLEY ROAD & OCEAN AVENUE,13,"[40.64485, -73.96002]"
BROOKLYN,GRAND STREET & MORGAN AVENUE,13,"[40.71337, -73.9348]"
BROOKLYN,GRAND STREET & MORGAN AVENUE,13,"[40.71337, -73.93481]"
MANHATTAN,2 AVENUE & EAST 26 STREET,13,"[40.73978, -73.9795]"
MANHATTAN,2 AVENUE & EAST 26 STREET,13,"[40.73978, -73.97952]"
MANHATTAN,MANHATTAN AVENUE & WEST 110 STREET,12,"[40.80116, -73.95965]"
BROOKLYN,FULTON STREET & WASHINGTON AVENUE,12,"[40.68304, -73.96478]"
MANHATTAN,7 AVENUE & WEST 30 STREET,12,"[40.74847, -73.99246]"
MANHATTAN,7 AVENUE & WEST 30 STREET,12,"[40.74847, -73.99247]"
MANHATTAN,5 AVENUE & EAST 14 STREET,12,"[40.736, -73.99362]"
QUEENS,31 AVENUE & 31 STREET,12,"[40.76435, -73.92346]"
QUEENS,31 AVENUE & 31 STREET,12,"[40.76435, -73.92347]"
MANHATTAN,DELANCEY STREET & SUFFOLK STREET,12,"[40.718, -73.98658]"
MANHATTAN,DELANCEY STREET & SUFFOLK STREET,12,"[40.71801, -73.9866]"
MANHATTAN,1 AVENUE & EAST 96 STREET,12,"[40.78325, -73.94472]"
MANHATTAN,1 AVENUE & EAST 96 STREET,12,"[40.78325, -73.94473]"
BROOKLYN,BROADWAY & UNION AVENUE,12,"[40.70547, -73.95024]"
BROOKLYN,BROADWAY & UNION AVENUE,12,"[40.7244, -73.9818]"
MANHATTAN,BOWERY & GRAND STREET,12,"[40.71846, -73.99481]"
MANHATTAN,BOWERY & GRAND STREET,12,"[40.71846, -73.99482]"
MANHATTAN,TRANSVERSE ROAD NUMBER TWO & WEST DRIVE,12,"[40.77994, -73.97103]"
MANHATTAN,1 AVENUE & EAST 14 STREET,12,"[40.73135, -73.98255]"
MANHATTAN,1 AVENUE & EAST 14 STREET,12,"[40.73136, -73.98257]"
BROOKLYN,FRANKLIN AVENUE & FULTON STREET,12,"[40.68114, -73.95567]"
BROOKLYN,FRANKLIN AVENUE & FULTON STREET,12,"[40.68921, -73.94404]"
MANHATTAN,BROADWAY & SPRING STREET,12,"[40.72302, -73.99881]"
MANHATTAN,BROADWAY & SPRING STREET,12,"[40.72302, -73.99882]"
MANHATTAN,10 AVENUE & WEST 57 STREET,11,"[40.76912, -73.98856]"
MANHATTAN,10 AVENUE & WEST 57 STREET,11,"[40.76911, -73.98856]"
BROOKLYN,BROADWAY & ELLERY STREET,11,"[40.69946, -73.93969]"
BROOKLYN,BROADWAY & ELLERY STREET,11,"[40.69946, -73.9397]"
QUEENS,34 AVENUE & STEINWAY STREET,11,"[40.75668, -73.92086]"
QUEENS,34 AVENUE & STEINWAY STREET,11,"[40.75668, -73.92088]"
BROOKLYN,CATON AVENUE & OCEAN AVENUE,11,"[40.65217, -73.96141]"
MANHATTAN,SAINT NICHOLAS AVENUE & WEST 155 STREET,11,"[40.83089, -73.94137]"
MANHATTAN,SAINT NICHOLAS AVENUE & WEST 155 STREET,11,"[40.83089, -73.94138]"
MANHATTAN,BOWERY & PRINCE STREET,11,"[40.72236, -73.99326]"
MANHATTAN,BOWERY & PRINCE STREET,11,"[40.72235, -73.99327]"
BROOKLYN,OCEAN AVENUE & PARKSIDE AVENUE,11,"[40.65488, -73.96188]"
BROOKLYN,OCEAN AVENUE & PARKSIDE AVENUE,11,"[40.65487, -73.96191]"
BROOKLYN,AVENUE U & OCEAN PARKWAY,11,"[40.59783, -73.96549]"
MANHATTAN,BOWERY & DELANCEY STREET,11,"[40.72032, -73.99404]"
BROOKLYN,47 STREET & 5 AVENUE,11,"[40.64679, -74.00857]"
MANHATTAN,ESSEX STREET & STANTON STREET,11,"[40.72098, -73.98695]"
MANHATTAN,ESSEX STREET & STANTON STREET,11,"[40.72098, -73.98696]"
MANHATTAN,SAINT NICHOLAS AVENUE & WEST 141 STREET,11,"[40.82126, -73.94608]"
BROOKLYN,FULTON STREET & NOSTRAND AVENUE,11,"[40.68039, -73.94956]"
BROOKLYN,4 AVENUE & BERGEN STREET,11,"[40.68249, -73.97961]"
MANHATTAN,DELANCEY STREET & ESSEX STREET,11,"[40.71856, -73.9882]"
MANHATTAN,4 AVENUE & EAST 14 STREET,11,"[40.73443, -73.9899]"
MANHATTAN,10 AVENUE & WEST 42 STREET,11,"[40.75963, -73.99547]"
MANHATTAN,10 AVENUE & WEST 42 STREET,11,"[40.75962, -73.99548]"
BROOKLYN,ATLANTIC AVENUE & SMITH STREET,11,"[40.68862, -73.98917]"
BROOKLYN,ATLANTIC AVENUE & SMITH STREET,11,"[40.68861, -73.98917]"
BROOKLYN,NAVY STREET & SANDS STREET,11,"[40.6997, -73.98046]"
BROOKLYN,NAVY STREET & SANDS STREET,11,"[40.6997, -73.98047]"
QUEENS,39 AVENUE & 48 STREET,11,"[40.74914, -73.9156]"
QUEENS,39 AVENUE & 48 STREET,11,"[40.74914, -73.91561]"
MANHATTAN,8 AVENUE & WEST 125 STREET,11,"[40.81017, -73.95117]"
MANHATTAN,CHRYSTIE STREET & RIVINGTON STREET,11,"[40.72125, -73.99224]"
MANHATTAN,CENTRAL PARK WEST & WEST 72 STREET,11,"[40.77622, -73.97595]"
MANHATTAN,CENTRAL PARK WEST & WEST 72 STREET,11,"[40.77622, -73.97596]"
MANHATTAN,ALLEN STREET & EAST HOUSTON STREET,11,"[40.72293, -73.98864]"
MANHATTAN,ALLEN STREET & EAST HOUSTON STREET,11,"[40.72293, -73.98865]"
MANHATTAN,1 AVENUE & EAST 49 STREET,11,"[40.75324, -73.96662]"
QUEENS,69 STREET & ROOSEVELT AVENUE,11,"[40.74633, -73.89633]"
MANHATTAN,6 AVENUE & WEST 23 STREET,11,"[40.74291, -73.9928]"
MANHATTAN,5 AVENUE & EAST 72 STREET,11,"[40.77246, -73.96704]"
MANHATTAN,5 AVENUE & EAST 72 STREET,11,"[40.77246, -73.96705]"
MANHATTAN,2 AVENUE & EAST 36 STREET,11,"[40.74608, -73.97494]"
MANHATTAN,2 AVENUE & EAST 36 STREET,11,"[40.74608, -73.97495]"
MANHATTAN,9 AVENUE & WEST 23 STREET,10,"[40.74649, -74.00132]"
MANHATTAN,9 AVENUE & WEST 23 STREET,10,"[40.74649, -74.00133]"
BROOKLYN,BEDFORD AVENUE & EMPIRE BOULEVARD,10,"[40.66352, -73.95721]"
BROOKLYN,ARION PLACE & BROADWAY,10,"[40.69783, -73.93676]"
BROOKLYN,ARION PLACE & BROADWAY,10,"[40.69783, -73.93677]"
BROOKLYN,AVENUE X & OCEAN PARKWAY,10,"[40.5911, -73.96514]"
BROOKLYN,AVENUE X & OCEAN PARKWAY,10,"[40.59111, -73.96513]"
BROOKLYN,FLUSHING AVENUE & WILLIAMSBURG STREET WEST,10,"[40.69804, -73.96284]"
BROOKLYN,FLUSHING AVENUE & WILLIAMSBURG STREET WEST,10,"[40.69804, -73.96285]"
BRONX,EAST 135 STREET & WILLIS AVENUE,10,"[40.80719, -73.92428]"
BRONX,EAST 135 STREET & WILLIS AVENUE,10,"[40.80719, -73.92431]"
BROOKLYN,GRAND STREET & MANHATTAN AVENUE,10,"[40.71148, -73.94559]"
BROOKLYN,GRAND STREET & MANHATTAN AVENUE,10,"[40.71148, -73.9456]"
QUEENS,48 STREET & SKILLMAN AVENUE,10,"[40.74636, -73.91616]"
QUEENS,48 STREET & SKILLMAN AVENUE,10,"[40.74635, -73.91617]"
BROOKLYN,CORTELYOU ROAD & OCEAN AVENUE,10,"[40.64333, -73.95973]"
MANHATTAN,BROADWAY & EAST 21 STREET,10,"[40.73987, -73.98958]"
MANHATTAN,BROADWAY & EAST 21 STREET,10,"[40.73986, -73.98959]"
QUEENS,28 AVENUE & STEINWAY STREET,10,"[40.76548, -73.9137]"
MANHATTAN,1 AVENUE & EAST 57 STREET,10,"[40.75831, -73.96293]"
MANHATTAN,1 AVENUE & EAST 57 STREET,10,"[40.75831, -73.96294]"
BROOKLYN,KENT AVENUE & NORTH 5 STREET,10,"[40.71923, -73.9629]"
BROOKLYN,KENT AVENUE & NORTH 5 STREET,10,"[40.71923, -73.96291]"
MANHATTAN,3 AVENUE & EAST 116 STREET,10,"[40.79795, -73.94002]"
MANHATTAN,3 AVENUE & EAST 116 STREET,10,"[40.79794, -73.94003]"
MANHATTAN,9 AVENUE & WEST 28 STREET,10,"[40.74964, -73.99904]"
MANHATTAN,9 AVENUE & WEST 28 STREET,10,"[40.74964, -73.99905]"
BROOKLYN,GOLD STREET & SANDS STREET,10,"[40.69977, -73.98293]"
BROOKLYN,GOLD STREET & SANDS STREET,10,"[40.69977, -73.98294]"
MANHATTAN,AVENUE OF THE AMERICAS & WEST 21 STREET,10,"[40.74162, -73.99374]"
MANHATTAN,EAST 34 STREET & LEXINGTON AVENUE,10,"[40.7464, -73.97972]"
MANHATTAN,EAST 34 STREET & LEXINGTON AVENUE,10,"[40.7464, -73.97973]"
MANHATTAN,1 AVENUE & EAST 73 STREET,10,"[40.76849, -73.9555]"
MANHATTAN,1 AVENUE & EAST 73 STREET,10,"[40.76849, -73.95551]"
BROOKLYN,VANDERBILT AVENUE & WILLOUGHBY AVENUE,10,"[40.69156, -73.96952]"
BROOKLYN,VANDERBILT AVENUE & WILLOUGHBY AVENUE,10,"[40.69156, -73.96953]"
BROOKLYN,BERRY STREET & SOUTH 5 STREET,10,"[40.71168, -73.96496]"
BROOKLYN,BERRY STREET & SOUTH 5 STREET,10,"[40.71168, -73.96497]"
BROOKLYN,BEDFORD AVENUE & MYRTLE AVENUE,10,"[40.69458, -73.95614]"
BROOKLYN,BEDFORD AVENUE & MYRTLE AVENUE,10,"[40.69458, -73.95615]"
BROOKLYN,ATLANTIC AVENUE & FLATBUSH AVENUE,10,"[40.68405, -73.97746]"
MANHATTAN,EAST 57 STREET & PARK AVENUE,10,"[40.76161, -73.97075]"
MANHATTAN,EAST 57 STREET & PARK AVENUE,10,"[40.76161, -73.97076]"
BRONX,BROOK AVENUE & EAST 138 STREET,10,"[40.80756, -73.91923]"
BRONX,BROOK AVENUE & EAST 138 STREET,10,"[40.81005, -73.92514]"
BRONX,BROOK AVENUE & EAST 138 STREET,10,"[40.80756, -73.91924]"
BROOKLYN,MYRTLE AVENUE & THROOP AVENUE,10,"[40.69603, -73.94353]"
BRONX,EAST GUN HILL ROAD & WEBSTER AVENUE,10,"[40.87865, -73.8716]"
BRONX,EAST GUN HILL ROAD & WEBSTER AVENUE,10,"[40.87864, -73.87161]"
MANHATTAN,1 AVENUE & EAST 26 STREET,10,"[40.7388, -73.97715]"
MANHATTAN,1 AVENUE & EAST 26 STREET,10,"[40.7388, -73.97716]"
BROOKLYN,BORINQUEN PLACE & SOUTH 2 STREET,10,"[40.71059, -73.95474]"
MANHATTAN,2 AVENUE & EAST 42 STREET,10,"[40.74982, -73.9722]"
MANHATTAN,2 AVENUE & EAST 42 STREET,10,"[40.74983, -73.97221]"
MANHATTAN,AVENUE A & EAST 10 STREET,10,"[40.72785, -73.98223]"
MANHATTAN,AVENUE A & EAST 10 STREET,10,"[40.72784, -73.98223]"
BROOKLYN,5 AVENUE & BERGEN STREET,10,"[40.68149, -73.97702]"
BROOKLYN,5 AVENUE & BERGEN STREET,10,"[40.68148, -73.97703]"
MANHATTAN,EAST 23 STREET & LEXINGTON AVENUE,10,"[40.73951, -73.98474]"
MANHATTAN,EAST 23 STREET & LEXINGTON AVENUE,10,"[40.73925, -73.98412]"
MANHATTAN,EAST 23 STREET & LEXINGTON AVENUE,10,"[40.73951, -73.98476]"
MANHATTAN,BOWERY & EAST HOUSTON STREET,10,"[40.72414, -73.9926]"
MANHATTAN,BOWERY & EAST HOUSTON STREET,10,"[40.72414, -73.99262]"
MANHATTAN,2 AVENUE & EAST 35 STREET,10,"[40.74544, -73.97539]"
MANHATTAN,2 AVENUE & EAST 35 STREET,10,"[40.74544, -73.9754]"
MANHATTAN,7 AVENUE & WEST 34 STREET,10,"[40.75099, -73.99062]"
MANHATTAN,7 AVENUE & WEST 34 STREET,10,"[40.75099, -73.99063]"
BROOKLYN,EASTERN PARKWAY & UTICA AVENUE,9,"[40.6688, -73.93112]"
BROOKLYN,EASTERN PARKWAY & UTICA AVENUE,9,"[40.6688, -73.93113]"
BRONX,EAST FORDHAM ROAD & WEBSTER AVENUE,9,"[40.8617, -73.89138]"
BRONX,EAST FORDHAM ROAD & WEBSTER AVENUE,9,"[40.8617, -73.89139]"
BROOKLYN,EASTERN PARKWAY & NOSTRAND AVENUE,9,"[40.66986, -73.9505]"
BROOKLYN,EASTERN PARKWAY & NOSTRAND AVENUE,9,"[40.66986, -73.95051]"
MANHATTAN,2 AVENUE & EAST 51 STREET,9,"[40.7555, -73.96807]"
MANHATTAN,BROADWAY & PRINCE STREET,9,"[40.72424, -73.99778]"
MANHATTAN,BROADWAY & PRINCE STREET,9,"[40.72424, -73.99779]"
MANHATTAN,AMSTERDAM AVENUE & WEST 125 STREET,9,"[40.81339, -73.95626]"
MANHATTAN,AMSTERDAM AVENUE & WEST 125 STREET,9,"[40.81337, -73.95628]"
BROOKLYN,BROADWAY & MYRTLE AVENUE,9,"[40.69699, -73.93522]"
BROOKLYN,BROADWAY & MYRTLE AVENUE,9,"[40.69698, -73.93523]"
MANHATTAN,1 AVENUE & EAST 23 STREET,9,"[40.73679, -73.9785]"
MANHATTAN,1 AVENUE & EAST 23 STREET,9,"[40.73685, -73.97853]"
BROOKLYN,39 STREET & 5 AVENUE,9,"[40.65127, -74.00391]"
BROOKLYN,39 STREET & 5 AVENUE,9,"[40.65126, -74.00391]"
MANHATTAN,1 AVENUE & EAST 62 STREET,9,"[40.76149, -73.9606]"
MANHATTAN,1 AVENUE & EAST 62 STREET,9,"[40.76149, -73.96062]"
MANHATTAN,EAST 42 STREET & MADISON AVENUE,9,"[40.7528, -73.97929]"
MANHATTAN,CANAL STREET & VARICK STREET,9,"[40.72255, -74.0063]"
MANHATTAN,CANAL STREET & VARICK STREET,9,"[40.72258, -74.00636]"
MANHATTAN,LENOX AVENUE & WEST 125 STREET,9,"[40.80777, -73.94548]"
MANHATTAN,LENOX AVENUE & WEST 125 STREET,9,"[40.80777, -73.94549]"
MANHATTAN,1 AVENUE & EAST 33 STREET,9,"[40.7431, -73.97401]"
MANHATTAN,1 AVENUE & EAST 33 STREET,9,"[40.74309, -73.97402]"
BROOKLYN,CHURCH AVENUE & CONEY ISLAND AVENUE,9,"[40.64638, -73.97084]"
BROOKLYN,CHURCH AVENUE & CONEY ISLAND AVENUE,9,"[40.64638, -73.97085]"
MANHATTAN,CHRYSTIE STREET & STANTON STREET,9,"[40.7224, -73.99165]"
BROOKLYN,LIVINGSTON STREET & SMITH STREET,9,"[40.69047, -73.98789]"
BROOKLYN,LIVINGSTON STREET & SMITH STREET,9,"[40.69047, -73.9879]"
MANHATTAN,CANAL STREET & FORSYTH STREET,9,"[40.71562, -73.99428]"
MANHATTAN,CANAL STREET & FORSYTH STREET,9,"[40.71562, -73.99429]"
MANHATTAN,8 AVENUE & WEST 42 STREET,9,"[40.75723, -73.98979]"
MANHATTAN,8 AVENUE & WEST 42 STREET,9,"[40.75723, -73.9898]"
BROOKLYN,METROPOLITAN AVENUE & UNION AVENUE,9,"[40.71407, -73.95162]"
BROOKLYN,METROPOLITAN AVENUE & UNION AVENUE,9,"[40.71407, -73.95163]"
BROOKLYN,JAY STREET & WILLOUGHBY STREET,9,"[40.69223, -73.9873]"
BROOKLYN,JAY STREET & WILLOUGHBY STREET,9,"[40.69223, -73.98731]"
MANHATTAN,3 AVENUE & EAST 106 STREET,9,"[40.79157, -73.94468]"
MANHATTAN,3 AVENUE & EAST 106 STREET,9,"[40.79157, -73.94469]"
MANHATTAN,EAST 110 STREET & PARK AVENUE,9,"[40.79546, -73.94603]"
MANHATTAN,EAST 110 STREET & PARK AVENUE,9,"[40.7952, -73.94623]"
MANHATTAN,EAST 110 STREET & PARK AVENUE,9,"[40.79547, -73.94605]"
BROOKLYN,FLUSHING AVENUE & FRANKLIN AVENUE,9,"[40.69868, -73.95886]"
BROOKLYN,ASHLAND PLACE & FULTON STREET,9,"[40.68787, -73.97835]"
BRONX,3 AVENUE & EAST 163 STREET,9,"[40.82407, -73.90871]"
BROOKLYN,BROOKLYN AVENUE & FULTON STREET,9,"[40.68009, -73.94397]"
BROOKLYN,BROOKLYN AVENUE & FULTON STREET,9,"[40.68009, -73.94398]"
BROOKLYN,OCEAN PARKWAY & QUENTIN ROAD,9,"[40.60726, -73.96727]"
BROOKLYN,BEDFORD AVENUE & CLARKSON AVENUE,9,"[40.65505, -73.9563]"
BROOKLYN,BEDFORD AVENUE & CLARKSON AVENUE,9,"[40.65505, -73.95631]"
MANHATTAN,CENTRAL PARK SOUTH & COLUMBUS CIRCLE,9,"[40.76789, -73.98151]"
MANHATTAN,CENTRAL PARK SOUTH & COLUMBUS CIRCLE,9,"[40.76784, -73.98137]"
QUEENS,65 PLACE & QUEENS BOULEVARD,9,"[40.7409, -73.89961]"
QUEENS,65 PLACE & QUEENS BOULEVARD,9,"[40.74088, -73.89962]"
MANHATTAN,2 AVENUE & EAST 79 STREET,9,"[40.77334, -73.95505]"
MANHATTAN,2 AVENUE & EAST 79 STREET,9,"[40.77334, -73.95506]"
MANHATTAN,2 AVENUE & EAST 53 STREET,9,"[40.75676, -73.96715]"
MANHATTAN,2 AVENUE & EAST 53 STREET,9,"[40.75676, -73.96716]"
BROOKLYN,JAY STREET & MYRTLE AVENUE,9,"[40.6938, -73.98723]"
BROOKLYN,JAY STREET & MYRTLE AVENUE,9,"[40.69378, -73.98721]"
BRONX,EAST FORDHAM ROAD & GRAND CONCOURSE,9,"[40.86244, -73.89714]"
BRONX,EAST FORDHAM ROAD & GRAND CONCOURSE,9,"[40.86253, -73.89708]"
BROOKLYN,60 STREET & 8 AVENUE,9,"[40.63549, -74.00956]"
BROOKLYN,60 STREET & 8 AVENUE,9,"[40.63549, -74.00957]"
MANHATTAN,FORT WASHINGTON AVENUE & WEST 165 STREET,9,"[40.84019, -73.94306]"
MANHATTAN,FORT WASHINGTON AVENUE & WEST 165 STREET,9,"[40.84019, -73.94307]"
QUEENS,JUNCTION BOULEVARD & ROOSEVELT AVENUE,9,"[40.74916, -73.86943]"
BROOKLYN,LORIMER STREET & METROPOLITAN AVENUE,9,"[40.71407, -73.94937]"
BROOKLYN,LORIMER STREET & METROPOLITAN AVENUE,9,"[40.71407, -73.94938]"
BROOKLYN,SCHERMERHORN STREET & SMITH STREET,9,"[40.68987, -73.9883]"
